tag-local-identifier,timestamp,location-lat,location-long
T8,2005-2-25 17:04:00,-24.44499919,31.75622965
T8,2005-2-25 18:04:00,-24.44598999,31.75587972
T8,2005-2-25 19:04:00,-24.44597982,31.7558492
T8,2005-2-25 20:04:00,-24.44625041,31.75534058
T8,2005-2-25 21:04:00,-24.44630941,31.75534058
T8,2005-2-25 22:04:00,-24.44541016,31.75311076
T8,2005-2-25 23:04:00,-24.44299927,31.7530009
T8,2005-2-26 0:04:00,-24.44302979,31.75322062
T8,2005-2-26 1:04:00,-24.44305013,31.75316976
T8,2005-2-26 2:04:00,-24.44005941,31.74935913
T8,2005-2-26 3:04:00,-24.43942057,31.74556071
T8,2005-2-26 4:04:00,-24.44401042,31.74342041
T8,2005-2-26 5:04:00,-24.44523926,31.73743083
T8,2005-2-26 6:04:00,-24.44576009,31.73736979
T8,2005-2-26 7:04:00,-24.44570923,31.73754069
T8,2005-2-26 8:04:00,-24.4456604,31.73739014
T8,2005-2-26 9:04:00,-24.43970947,31.74677938
T8,2005-2-26 10:04:00,-24.44146932,31.74472046
T8,2005-2-26 11:04:00,-24.44258016,31.73757935
T8,2005-2-26 12:04:00,-24.44258016,31.73755086
T8,2005-2-26 13:04:00,-24.44263916,31.73788045
T8,2005-2-26 14:04:00,-24.4424703,31.73791911
T8,2005-2-26 15:04:00,-24.44053955,31.73690999
T8,2005-2-26 16:04:00,-24.44092,31.73815918
T8,2005-2-26 17:03:00,-24.44570923,31.7351298
T8,2005-2-26 18:04:00,-24.44656982,31.73628947
T8,2005-2-26 19:04:00,-24.44655965,31.73631999
T8,2005-2-26 20:03:00,-24.446521,31.73628947
T8,2005-2-26 21:03:00,-24.44577026,31.73378906
T8,2005-2-26 22:04:00,-24.44279989,31.73395996
T8,2005-2-26 23:03:00,-24.44286092,31.73394979
T8,2005-2-27 0:04:00,-24.44276937,31.73389079
T8,2005-2-27 1:03:00,-24.44281006,31.73397013
T8,2005-2-27 2:03:00,-24.44293009,31.73399048
T8,2005-2-27 3:04:00,-24.44285075,31.73403931
T8,2005-2-27 4:04:00,-24.44286906,31.73395996
T8,2005-2-27 5:04:00,-24.44005941,31.72685954
T8,2005-2-27 6:03:00,-24.44022013,31.71970011
T8,2005-2-27 7:03:00,-24.43881022,31.73220011
T8,2005-2-27 8:05:00,-24.43860067,31.74630941
T8,2005-2-27 9:03:00,-24.4396403,31.74707031
T8,2005-2-27 10:04:00,-24.43953044,31.7488505
T8,2005-2-27 11:04:00,-24.4396403,31.74886068
T8,2005-2-27 12:04:00,-24.43935954,31.74902954
T8,2005-2-27 13:04:00,-24.4394694,31.74883016
T8,2005-2-27 14:04:00,-24.43715007,31.74840088
T8,2005-2-27 15:04:00,-24.43652954,31.75162964
T8,2005-2-27 16:04:00,-24.43700968,31.75312093
T8,2005-2-27 17:04:00,-24.43728027,31.75216064
T8,2005-2-27 18:04:00,-24.43282064,31.75044963
T8,2005-2-27 19:03:00,-24.43248088,31.75032959
T8,2005-2-27 20:04:00,-24.43133952,31.75050049
T8,2005-2-27 21:03:00,-24.4303894,31.75016073
T8,2005-2-27 22:04:00,-24.43039958,31.75012004
T8,2005-2-27 23:03:00,-24.428361,31.74671021
T8,2005-2-28 0:04:00,-24.42770996,31.74675903
T8,2005-2-28 1:03:00,-24.42774048,31.74685059
T8,2005-2-28 2:03:00,-24.42779948,31.74683024
T8,2005-2-28 3:04:00,-24.42777913,31.74684041
T8,2005-2-28 4:03:00,-24.42783,31.74686076
T8,2005-2-28 5:04:00,-24.42343953,31.73438924
T8,2005-2-28 6:03:00,-24.41455078,31.72277018
T8,2005-2-28 7:03:00,-24.3949707,31.72022095
T8,2005-2-28 8:04:00,-24.39833984,31.72072957
T8,2005-2-28 9:04:00,-24.39804077,31.7207194
T8,2005-2-28 10:04:00,-24.39836019,31.72037964
T8,2005-2-28 11:04:00,-24.39836019,31.72031047
T8,2005-2-28 12:03:00,-24.39832967,31.72037964
T8,2005-2-28 13:04:00,-24.39837036,31.72039998
T8,2005-2-28 14:04:00,-24.39961955,31.72109985
T8,2005-2-28 15:03:00,-24.39588013,31.72152913
T8,2005-2-28 16:04:00,-24.39862061,31.72267049
T8,2005-2-28 17:03:00,-24.39827067,31.72340088
T8,2005-2-28 18:03:00,-24.39723918,31.72371012
T8,2005-2-28 19:04:00,-24.39723918,31.72355957
T8,2005-2-28 20:03:00,-24.39727987,31.72361043
T8,2005-2-28 21:04:00,-24.39380086,31.72260946
T8,2005-2-28 22:04:00,-24.39278971,31.72011922
T8,2005-2-28 23:03:00,-24.39362996,31.72129924
T8,2005-3-1 0:04:00,-24.39119059,31.71807048
T8,2005-3-1 1:03:00,-24.39003092,31.71964925
T8,2005-3-1 2:03:00,-24.39063924,31.72224935
T8,2005-3-1 3:04:00,-24.39059041,31.72230021
T8,2005-3-1 4:03:00,-24.39046021,31.72220052
T8,2005-3-1 5:03:00,-24.3927592,31.72204997
T8,2005-3-1 6:03:00,-24.39579061,31.72036947
T8,2005-3-1 7:03:00,-24.39578044,31.72034912
T8,2005-3-1 8:03:00,-24.39643962,31.72060954
T8,2005-3-1 9:03:00,-24.39628092,31.7209493
T8,2005-3-1 10:03:00,-24.39630941,31.72084961
T8,2005-3-1 11:03:00,-24.39621989,31.72107951
T8,2005-3-1 12:04:00,-24.39619954,31.72103068
T8,2005-3-1 13:03:00,-24.39591064,31.72006022
T8,2005-3-1 14:04:00,-24.39505005,31.72172038
T8,2005-3-1 15:03:00,-24.39498088,31.72710978
T8,2005-3-1 15:07:00,-24.3949707,31.72721965
T8,2005-3-1 16:03:00,-24.39462077,31.72729899
